lat,lon,ba_live_total,shannon_h_ba,n_species_live
33.9766,-93.2897,173.3062,1.2274,11.0000
32.1890,-88.9896,136.3872,1.2217,6.0000
45.9269,-91.8055,53.4098,1.5774,7.0000
45.9122,-116.9721,59.8184,0.6866,2.0000
32.5683,-83.0673,75.0185,0.0459,2.0000
43.8278,-72.0226,149.0207,1.6040,8.0000
28.9979,-81.8040,23.5586,0.9637,3.0000
36.2628,-105.5941,128.5274,1.0769,4.0000
34.0496,-86.3965,27.7319,1.6058,7.0000
44.6434,-90.6825,114.7706,0.6637,2.0000
32.7859,-98.0488,43.2575,0.9899,3.0000
35.4306,-87.5687,129.3988,0.6099,8.0000
40.9978,-83.3718,47.4319,1.8087,10.0000
45.4669,-90.1143,148.1197,0.9885,5.0000
35.3314,-92.8549,22.6714,0.9748,4.0000
35.4359,-87.9326,38.4364,1.1437,4.0000
32.8427,-92.3818,45.4039,1.4881,7.0000
37.7519,-81.2755,75.8818,1.4691,5.0000
35.4314,-83.6906,124.4706,2.3082,12.0000
48.6903,-120.9166,304.9150,1.2066,6.0000
34.4752,-88.5207,233.1426,0.7846,9.0000
35.5863,-92.7013,65.5007,2.0514,10.0000
38.4935,-91.7969,98.2722,1.8225,8.0000
41.1151,-74.4930,85.4486,1.9932,11.0000
45.5891,-94.4542,25.2435,1.3915,6.0000
46.7484,-68.6399,114.3722,1.0446,4.0000
39.5207,-91.4280,59.3697,1.7692,8.0000
33.8161,-82.0546,127.3218,0.4604,6.0000
35.7414,-86.0586,81.5108,1.3572,8.0000
37.5220,-76.7467,145.0776,1.9592,9.0000
33.0710,-87.4910,88.0752,0.9632,4.0000
42.8626,-109.5306,86.2935,0.1917,2.0000
48.3020,-94.2545,40.1587,0.6354,2.0000
33.5686,-82.8978,102.3958,1.7933,8.0000
48.0890,-95.2678,144.7414,1.1738,6.0000
45.4099,-114.8913,49.7683,0.0000,1.0000
46.3313,-91.6245,69.1854,0.2717,3.0000
40.3614,-77.1591,153.6128,0.9593,7.0000
34.0401,-100.5579,4.0884,0.0000,1.0000
45.3617,-116.7753,122.4709,0.4549,2.0000
35.7009,-97.3748,30.4776,0.8953,3.0000
30.9937,-85.1489,34.9137,1.0390,5.0000
34.3314,-87.6038,112.8629,1.5248,8.0000
38.4365,-122.4224,72.1567,1.2734,5.0000
44.6960,-84.2220,90.1760,1.2938,7.0000
32.9753,-85.6739,26.2276,1.3721,5.0000
44.7754,-85.1201,78.8132,0.0000,1.0000
46.7583,-69.4858,146.3136,1.6607,7.0000
47.0203,-68.7769,118.4532,1.3245,6.0000
44.4763,-91.9407,60.4110,1.7697,7.0000
38.7074,-81.1109,24.9971,1.4971,7.0000
36.4642,-78.7224,155.5771,2.3879,15.0000
32.9660,-89.8397,80.5081,1.7207,8.0000
37.0782,-95.7796,42.1588,0.8553,3.0000
36.1283,-88.1403,86.4620,1.4835,7.0000
39.5183,-87.2644,178.9565,2.2079,12.0000
45.8899,-87.3450,32.9378,0.0000,1.0000
34.9740,-83.2437,184.3330,1.5861,9.0000
35.7105,-82.2132,66.0315,1.7999,8.0000
34.1394,-82.0007,110.9028,2.0984,11.0000
37.2610,-82.2635,45.9400,1.4159,6.0000
41.4477,-123.3303,129.9722,1.1126,4.0000
48.4692,-93.0761,87.8192,0.6471,4.0000
35.1034,-91.3074,49.6062,1.8506,8.0000
38.7773,-81.8381,98.4192,1.8833,8.0000
37.6478,-108.1134,109.1446,1.0404,3.0000
28.5247,-100.2096,37.0993,0.0000,1.0000
45.7353,-116.8453,35.3806,0.0000,1.0000
47.1840,-94.9226,26.4342,0.6393,4.0000
35.8400,-87.4754,141.1824,1.1304,5.0000
34.2514,-87.4945,111.5716,0.5050,5.0000
47.9438,-93.4995,27.0556,1.5398,6.0000
35.9880,-94.4746,19.9955,1.3992,6.0000
45.8897,-113.7051,100.7684,1.0275,4.0000
32.4541,-93.1366,124.6834,0.9261,6.0000
38.5415,-90.9946,95.9713,1.1264,5.0000
44.9992,-94.0360,42.5474,0.0000,1.0000
40.6028,-110.7013,68.2885,0.4817,3.0000
35.8282,-87.9824,128.8971,2.2745,14.0000
31.1731,-85.9195,109.9035,1.5777,9.0000
45.8032,-91.8189,97.5546,1.2276,8.0000
36.8077,-77.3859,72.5394,1.9151,10.0000
38.0496,-92.8449,7.5455,0.9849,3.0000
31.0898,-98.1901,7.4829,0.7176,3.0000
44.7575,-90.9382,22.2732,0.6116,3.0000
35.8061,-80.8752,41.5445,0.9072,4.0000
30.1638,-94.1409,121.3644,2.0570,11.0000
43.5890,-91.0115,98.2649,1.3497,8.0000
35.6684,-94.1347,112.2638,1.8418,10.0000
28.1173,-82.6020,160.8390,1.2306,5.0000
33.2314,-91.6400,43.5636,0.0000,1.0000
47.4260,-123.7181,286.7373,0.6998,4.0000
38.8892,-81.1473,69.7482,1.8338,8.0000
39.8602,-79.0456,94.2881,1.9600,13.0000
34.5879,-91.3688,140.7887,1.5187,8.0000
38.7449,-93.5579,6.5585,0.0000,1.0000
34.5039,-91.3369,64.6723,1.9337,9.0000
33.9655,-85.5464,73.2724,1.0429,6.0000
33.9308,-88.3599,53.0324,1.0848,4.0000
30.6986,-87.2019,67.6223,1.3390,5.0000
33.7055,-89.4654,126.0278,1.2430,7.0000
34.6005,-83.2934,109.8500,1.6588,8.0000
34.3797,-95.0956,2.9622,0.0000,1.0000
39.2489,-123.3340,120.5717,1.5215,6.0000
37.5847,-112.6316,56.9733,0.6888,2.0000
45.4430,-93.1666,45.1384,0.7360,4.0000
48.5755,-94.4346,125.8504,0.1288,2.0000
46.8064,-88.9839,16.5221,0.0000,1.0000
45.2265,-88.4448,126.6693,2.0437,9.0000
34.8655,-88.7292,102.9696,0.1493,5.0000
47.0028,-68.3215,102.2968,1.3488,7.0000
45.2163,-70.2806,143.6264,1.6346,10.0000
34.0551,-88.2531,93.7260,2.0072,11.0000
45.4663,-105.8909,74.1827,0.0000,1.0000
35.8530,-94.4163,57.7596,1.2982,5.0000
43.8856,-103.3564,21.7304,0.6769,2.0000
35.9823,-113.0793,104.0560,1.0202,3.0000
36.9190,-78.0496,165.0696,1.5022,8.0000
35.0621,-82.5083,61.2943,1.7624,9.0000
35.5012,-91.5737,32.5613,1.3389,5.0000
45.1486,-83.9941,75.2751,0.7269,3.0000
44.9516,-70.5927,168.8456,0.4919,4.0000
36.3341,-82.0320,99.8259,1.7214,14.0000
31.0054,-82.9947,18.9444,0.0000,1.0000
29.4955,-81.7044,246.4245,0.8277,6.0000
35.0607,-111.8791,104.3385,0.0000,1.0000
34.5416,-80.1305,13.5828,0.6340,2.0000
45.7292,-91.9742,11.2742,0.9349,4.0000
47.7364,-90.7956,174.9701,0.2500,5.0000
32.3656,-90.3003,69.1545,1.2434,5.0000
48.1723,-116.8049,124.7956,0.1538,2.0000
43.5676,-84.6267,43.9949,1.2965,6.0000
42.1670,-72.0454,154.3417,1.1367,6.0000
47.1727,-91.6402,44.1118,1.5547,7.0000
37.8122,-112.2484,144.5742,0.6684,2.0000
37.4929,-81.8568,79.1719,1.7414,7.0000
44.8361,-70.7604,60.2756,0.2790,2.0000
30.5465,-83.5905,19.3787,0.5845,3.0000
46.5697,-114.6540,60.5610,0.7034,3.0000
46.1780,-121.1998,43.3621,0.8812,3.0000
46.3159,-112.3012,100.6560,0.3862,2.0000
41.2701,-78.0142,118.9893,1.9023,7.0000
37.9152,-80.1659,131.7358,2.1391,11.0000
33.4954,-81.2150,156.8518,0.0000,1.0000
34.7298,-81.1458,19.0494,0.9222,3.0000
41.3298,-73.8896,149.9673,1.7823,8.0000
31.5809,-103.1055,5.0396,0.0000,1.0000
32.7469,-84.8513,8.9573,0.3900,2.0000
37.9038,-87.7911,107.6736,1.8207,10.0000
45.0716,-84.8003,87.8286,0.7615,3.0000
43.6975,-71.6180,157.2849,1.2445,5.0000
43.5559,-87.9274,17.3699,0.0000,1.0000
31.8458,-94.2226,61.7737,2.0258,11.0000
33.7388,-80.2486,96.6370,1.2704,5.0000
46.6827,-121.9256,202.8641,0.5171,5.0000
42.8939,-122.3627,317.7071,1.1443,5.0000
35.8945,-111.8034,77.3204,0.4618,2.0000
32.1790,-85.0938,55.4994,0.5656,4.0000
33.6125,-88.2716,54.9836,0.0000,1.0000
41.1800,-73.6133,12.9127,0.0000,1.0000
46.1136,-93.1255,122.7606,1.4026,7.0000
37.8601,-105.5658,25.5290,0.0000,1.0000
33.9855,-99.1610,16.0776,0.0000,1.0000
40.5340,-77.0536,107.6310,1.4115,5.0000
36.3696,-93.1111,132.0529,1.6223,10.0000
34.1374,-94.0828,39.9539,0.6812,3.0000
47.1155,-68.2699,23.7474,0.6315,2.0000
33.0937,-79.7657,184.9483,0.5747,5.0000
34.7689,-76.8158,27.6426,1.1771,4.0000
37.8101,-78.3304,106.0741,1.1799,7.0000
34.7176,-86.0642,99.4365,2.1558,12.0000
43.2427,-83.6461,62.1677,1.5038,5.0000
35.5501,-76.8389,42.8899,1.3539,7.0000
39.9957,-90.8264,3.9499,1.0561,3.0000
34.2454,-82.5582,155.3259,1.7087,10.0000
46.3730,-85.8726,145.9384,0.7071,4.0000
37.0122,-111.7946,64.6287,0.0000,1.0000
46.4886,-94.5378,60.4599,1.7438,8.0000
34.3942,-94.4521,0.6910,0.0000,1.0000
45.8907,-114.4878,35.6580,0.0000,1.0000
31.8423,-93.6974,76.4458,0.3583,4.0000
38.8238,-82.5166,66.6613,1.9535,9.0000
33.8208,-108.9008,57.5269,0.0000,1.0000
46.5351,-86.3990,146.9003,1.8675,10.0000
38.9151,-119.9145,192.1864,0.6303,2.0000
46.7127,-69.2526,114.6286,1.7704,8.0000
36.3724,-90.9293,107.7597,2.2424,15.0000
43.4807,-71.8560,130.8238,0.5215,5.0000
34.5705,-101.1929,45.9694,0.1321,2.0000
46.3334,-91.7406,25.3586,0.4124,3.0000
33.7961,-83.6718,228.9098,0.8081,5.0000
35.2455,-94.1567,21.2821,1.0024,3.0000
40.7974,-78.6497,7.1286,0.6062,2.0000
36.2221,-81.2409,137.5777,1.4518,10.0000
40.4328,-120.7224,115.3676,0.8386,3.0000
33.4101,-93.9881,28.6901,1.8049,8.0000
45.1478,-90.9482,68.6061,2.0614,12.0000
45.0990,-91.9810,59.7193,1.9039,9.0000
36.0266,-84.3972,84.8495,1.6338,7.0000
33.4246,-108.6928,64.3976,0.6427,4.0000
31.3895,-87.4850,87.7544,2.2613,14.0000
36.5555,-121.7889,10.5335,0.0000,1.0000
37.4524,-82.7931,103.8118,2.3392,16.0000
35.6519,-86.9143,43.6015,1.4681,6.0000
34.0843,-81.7173,130.5519,0.4087,3.0000
34.6798,-94.8676,91.0027,1.8792,11.0000
31.6278,-89.6059,104.9008,0.4756,2.0000
36.6091,-79.1710,63.8787,0.8511,4.0000
44.5550,-70.2953,33.8672,1.5279,5.0000
32.9903,-100.8581,12.1880,0.0000,1.0000
47.2418,-93.5531,75.7381,0.8724,3.0000
42.9721,-89.9724,80.7307,1.6142,8.0000
47.5264,-92.4241,42.7188,1.5349,6.0000
45.9601,-86.6820,184.7170,1.5469,8.0000
38.2153,-83.8182,63.4045,1.4401,5.0000
46.7275,-110.0852,275.6637,0.5606,2.0000
30.9451,-88.2478,88.6168,1.4431,9.0000
36.4051,-86.2259,13.4053,1.0468,3.0000
44.2110,-90.4628,148.8880,1.5873,6.0000
31.8465,-89.5495,47.1957,0.0000,1.0000
43.5098,-75.3213,56.3792,1.4353,7.0000
40.0646,-77.0997,105.3757,1.3015,9.0000
26.8898,-82.0840,68.1364,0.9910,3.0000
44.1010,-83.7662,68.2858,1.5023,6.0000
31.1923,-84.9577,6.0531,0.6285,2.0000
31.4837,-99.7972,2.6494,0.0000,1.0000
34.3727,-99.8685,6.9962,0.0000,1.0000
46.1649,-93.8135,11.9438,0.6699,2.0000
41.5239,-79.5595,96.9816,1.2466,5.0000
42.9798,-73.0282,112.6336,1.4487,6.0000
31.7416,-92.4979,157.2486,0.9216,5.0000
32.6894,-80.2657,129.9341,1.2567,7.0000
38.3447,-114.4591,25.7715,0.0000,1.0000
34.7820,-88.0281,103.1037,1.7469,9.0000
45.6975,-91.6384,127.9863,1.4978,6.0000
45.3369,-121.5928,304.0628,1.6256,8.0000
34.8532,-96.0273,48.4901,0.1475,2.0000
30.7913,-95.0396,153.3327,2.0622,14.0000
47.4925,-94.4511,21.9961,0.9658,4.0000
44.4417,-91.6242,74.4636,1.2633,5.0000
37.2461,-79.0121,164.1920,1.5450,11.0000
45.3681,-118.2496,105.1267,0.4527,2.0000
38.5514,-120.2483,324.9054,0.0750,2.0000
35.5889,-94.9241,36.9368,1.1079,4.0000
44.7444,-122.0913,175.5609,0.9326,4.0000
43.7996,-84.1869,143.7695,0.9680,5.0000
30.7673,-94.3346,48.5716,0.4591,6.0000
41.5831,-96.4110,80.9335,0.6890,3.0000
38.0000,-82.0474,85.3811,1.8571,9.0000
46.6358,-68.3401,25.8201,1.0823,3.0000
45.0223,-111.1925,159.9994,1.1434,4.0000
44.2729,-72.7966,191.4239,1.5346,10.0000
36.1761,-108.9407,122.0284,0.9665,3.0000
29.2603,-99.7707,25.5178,0.0000,1.0000
38.1143,-85.2349,134.2981,0.8987,4.0000
45.2919,-110.6773,26.0528,0.0000,1.0000
25.9091,-81.6546,60.4278,0.2986,3.0000
31.2045,-95.2996,114.1402,1.0155,5.0000
37.1748,-79.0088,67.9894,1.5127,11.0000
39.4034,-121.1082,292.2074,1.3837,6.0000
41.2984,-78.2998,127.7893,1.3540,6.0000
36.6469,-83.1661,116.8566,2.3323,13.0000
41.3412,-75.1251,47.3126,0.5138,3.0000
46.8277,-88.3157,106.5741,1.2352,7.0000
41.3044,-79.5230,25.0501,1.2391,5.0000
42.6196,-121.7309,109.5556,0.0645,2.0000
35.5020,-83.8664,191.8084,1.3490,7.0000
36.8261,-93.1436,74.7960,1.6156,8.0000
36.7257,-80.3689,123.3153,2.2250,13.0000
43.2334,-70.7307,196.2470,1.3330,6.0000
48.1371,-93.9719,90.1885,0.5262,2.0000
32.0249,-94.0554,116.4817,1.7181,7.0000
44.4398,-85.7282,22.6610,0.5302,2.0000
46.2638,-92.0023,20.9837,1.1700,4.0000
32.9589,-89.5755,119.7317,2.1103,10.0000
31.8733,-82.5398,14.7165,0.6404,2.0000
33.3664,-83.1900,67.5705,1.9917,12.0000
31.2549,-85.7281,28.8086,1.3296,5.0000
48.7182,-119.7977,166.5111,0.0000,1.0000
46.9184,-68.8149,72.6612,1.7630,8.0000
37.6858,-78.0800,85.5831,1.8410,8.0000
46.9931,-116.2774,130.8769,0.8996,5.0000
36.9290,-90.4559,142.1124,1.3731,10.0000
34.4594,-92.6072,80.4462,1.7490,11.0000
34.9562,-81.4854,37.1347,1.9351,11.0000
35.1711,-76.7119,52.5343,1.0369,4.0000
33.5314,-111.1590,45.8586,0.8397,3.0000
38.7177,-80.1466,74.2949,1.7928,8.0000
38.6161,-119.9622,173.1239,0.7353,4.0000
35.1914,-97.0433,68.0758,1.7255,8.0000
39.2608,-85.5815,134.0833,1.7982,10.0000
31.2157,-87.9079,116.9455,1.8207,10.0000
43.5123,-85.7888,43.4477,1.0285,5.0000
43.1270,-91.4188,59.8951,1.3283,6.0000
39.9775,-81.4614,78.9993,1.8166,9.0000
44.8583,-115.5749,126.6731,0.6090,3.0000
39.3530,-82.6007,111.2046,1.5905,8.0000
36.2798,-85.3045,114.7387,1.4608,7.0000
32.8137,-80.4183,208.8492,0.7052,6.0000
40.5103,-86.8222,10.5216,0.6766,2.0000
32.0820,-83.7636,74.5839,1.1384,6.0000
29.2428,-81.6945,13.3248,0.4460,2.0000
32.8168,-92.3669,144.7189,0.5382,5.0000
36.0043,-110.1638,59.6104,0.6477,2.0000
38.3968,-95.0596,26.8933,0.6591,2.0000
46.2731,-87.9661,241.5736,1.0928,6.0000
34.2676,-85.3926,71.1537,1.9670,10.0000
46.8242,-92.5217,63.5045,1.2236,4.0000
34.5488,-77.5773,142.0588,1.4071,6.0000
44.5737,-84.2918,94.8588,1.5738,7.0000
37.7639,-92.1701,83.1727,1.2826,7.0000
36.3047,-78.4313,163.6739,0.2649,7.0000
44.4908,-69.5335,103.8435,1.4990,9.0000
36.4088,-81.2895,192.5029,1.9194,9.0000
45.4188,-89.9107,48.5029,1.2404,4.0000
47.3495,-94.9942,79.3051,1.9194,8.0000
44.9424,-68.9836,5.3018,0.5910,2.0000
47.6669,-92.0406,23.1224,0.2393,2.0000
36.3201,-78.9517,108.0497,1.4616,7.0000
38.2269,-78.5680,69.3749,2.1684,11.0000
45.5551,-87.9027,88.0029,1.6580,7.0000
34.8950,-79.5458,25.4842,1.0464,4.0000
34.1872,-84.0827,50.5284,0.8965,4.0000
44.2100,-111.2455,119.0583,0.0000,1.0000
44.9962,-92.1260,136.5758,1.1288,5.0000
32.3287,-87.4487,8.8355,0.7080,3.0000
40.9598,-92.3672,28.2004,0.9785,3.0000
45.8733,-69.1196,116.5362,2.1042,11.0000
45.2636,-88.9508,99.7600,1.1766,6.0000
46.4108,-94.8088,91.6486,1.1530,5.0000
43.3397,-85.5705,34.0193,0.8446,3.0000
47.0969,-93.1945,66.6423,0.6926,2.0000
33.2044,-100.8486,19.8297,0.2984,2.0000
32.2152,-81.7230,187.6885,0.0000,1.0000
46.2206,-68.8290,181.6117,1.4839,11.0000
44.8509,-114.2105,20.6926,0.5594,3.0000
44.7708,-86.0647,106.5598,1.0631,3.0000
38.1106,-81.3999,139.9782,2.0370,11.0000
34.6856,-79.5766,76.7756,0.0000,1.0000
44.9939,-89.9022,66.6495,1.1103,6.0000
36.9363,-85.4893,46.8068,2.0596,10.0000
43.6458,-121.4054,64.9329,0.2594,2.0000
34.9896,-79.6782,94.1177,1.0593,7.0000
42.3039,-122.2350,147.2073,0.3025,2.0000
31.2827,-95.1000,42.7471,0.9827,3.0000
44.7113,-84.5115,107.8653,0.8066,3.0000
43.2186,-90.9268,46.5816,1.4256,5.0000
46.9314,-89.1701,176.9568,1.1056,4.0000
43.8929,-84.8807,154.3284,1.2359,4.0000
32.4838,-82.5116,95.6047,0.2158,3.0000
46.0766,-92.0087,96.0791,1.3960,5.0000
38.5163,-89.8282,119.0141,1.5305,8.0000
45.9585,-84.9188,139.3562,1.7674,7.0000
44.6941,-70.5521,125.0348,1.4248,6.0000
46.4763,-85.3673,37.1763,0.9104,3.0000
42.3967,-121.4645,130.6341,0.9715,3.0000
42.9859,-123.5926,283.7644,0.4823,6.0000
47.7760,-91.0360,19.2774,1.4319,5.0000
46.0375,-93.1329,76.5782,1.0421,3.0000
44.5609,-84.1017,18.6886,0.0000,1.0000
44.8768,-90.0718,119.7607,1.9755,11.0000
45.1500,-90.0728,109.4644,0.4350,4.0000
32.8906,-92.0165,87.0050,0.2557,2.0000
35.1477,-80.0479,70.6385,0.3915,3.0000
43.3514,-86.1496,1.1041,0.0000,1.0000
42.8948,-122.6968,159.8180,1.0944,3.0000
41.2473,-114.0194,154.4987,1.0552,3.0000
30.6634,-87.1063,76.5941,0.9186,6.0000
35.0670,-111.5998,120.3209,0.0492,2.0000
48.9357,-116.7294,55.2736,1.0945,4.0000
38.1268,-81.6939,126.7144,1.2245,7.0000
34.5989,-88.0119,128.2251,1.0782,7.0000
46.0642,-100.5306,22.1577,0.5460,2.0000
30.8102,-94.4826,69.7371,0.9947,5.0000
30.6855,-85.1272,90.1360,1.6976,7.0000
30.6686,-95.5987,42.5339,0.8471,4.0000
45.5741,-89.1666,24.5736,0.7161,4.0000
48.3812,-95.1899,6.6924,0.0000,1.0000
39.7419,-114.0488,145.9601,0.2229,2.0000
38.3749,-87.4088,86.5397,1.1973,6.0000
36.6652,-78.2702,39.4417,1.3460,5.0000
31.1659,-86.6225,50.2776,0.4836,2.0000
31.1102,-89.7480,26.7210,0.3398,2.0000
37.9598,-79.4691,12.5247,0.8861,3.0000
38.4917,-116.5541,80.8195,0.6722,2.0000
39.3170,-82.5933,153.5293,1.8382,11.0000
48.0791,-116.2665,125.0381,0.1746,3.0000
30.5376,-91.0033,78.7285,1.7336,9.0000
35.1642,-82.4256,169.5958,1.2930,8.0000
38.8780,-86.6815,50.9684,1.5519,8.0000
33.9626,-108.9400,163.7619,1.2737,5.0000
42.2845,-74.8527,7.9162,0.6853,2.0000
43.0192,-72.9473,192.4362,0.8011,3.0000
46.4001,-92.8889,104.2520,1.3429,6.0000
44.4553,-120.6236,69.2664,0.1422,2.0000
46.3751,-89.1872,114.4200,1.5396,7.0000
33.6226,-93.6285,56.0371,1.5825,7.0000
32.0239,-84.8220,14.2160,1.0246,3.0000
29.6652,-82.0264,39.2527,0.0000,1.0000
44.0340,-85.7416,209.9936,1.5798,7.0000
35.1587,-93.6262,109.1684,1.3617,6.0000
47.5283,-92.4637,59.5432,1.4648,5.0000
46.9218,-90.9302,77.2357,0.9230,4.0000
45.7021,-70.3764,118.6553,1.4496,7.0000
31.3851,-100.9868,3.7265,0.0000,1.0000
47.6575,-94.4766,10.4850,1.0888,3.0000
29.3737,-98.1619,16.5753,0.0000,1.0000
33.8244,-92.7882,126.7441,1.5802,6.0000
35.7066,-77.6804,204.8149,0.0000,1.0000
46.5150,-86.1700,141.0882,1.3360,6.0000
30.3223,-93.9206,73.3294,1.7869,9.0000
45.5309,-90.2603,16.2870,0.6885,2.0000
47.3163,-88.3945,134.8501,1.6067,7.0000
37.0433,-94.5741,100.0248,0.9094,6.0000
44.2317,-84.0782,56.8821,1.1759,5.0000
43.2639,-83.2869,1.8134,0.0000,1.0000
39.2141,-116.8254,66.4017,0.0000,1.0000
41.9580,-74.5029,95.9474,1.5000,6.0000
31.4164,-90.5677,129.0890,0.2318,3.0000
31.0203,-86.8256,7.8229,0.3537,2.0000
34.8234,-84.2036,129.7915,1.7351,8.0000
47.4513,-116.4700,214.0305,1.4803,8.0000
44.6359,-114.4856,3.9443,0.0000,1.0000
33.4440,-85.9832,152.5186,0.0000,1.0000
43.9416,-110.9336,108.2740,0.1382,2.0000
48.4847,-96.1748,20.6985,0.8135,3.0000
45.0628,-122.2341,127.3857,1.2163,4.0000
47.4555,-103.6786,19.6067,0.2794,3.0000
38.4853,-105.9752,68.5121,0.0000,1.0000
36.0657,-81.6333,185.2798,1.8702,8.0000
30.2765,-93.1092,62.5258,0.5963,2.0000
32.9074,-89.6166,119.8523,1.3264,10.0000
33.6720,-79.4136,1.0467,0.0000,1.0000
36.2233,-109.1648,36.1013,0.0000,1.0000
33.0069,-89.1159,107.9943,1.7935,8.0000
42.9708,-91.0448,64.6712,1.9206,9.0000
32.0136,-89.7569,107.5119,1.6554,8.0000
39.9300,-79.9616,29.9058,1.5261,6.0000
46.6358,-94.7747,71.5043,0.7509,5.0000
33.0957,-93.2342,28.4781,0.8477,5.0000
36.4027,-78.6477,112.8429,2.0847,15.0000
45.0465,-68.2439,175.1733,1.6050,9.0000
31.5783,-92.5187,132.1809,1.2568,10.0000
36.4618,-76.8580,147.6141,0.0822,2.0000
38.7489,-87.6634,85.2198,1.9248,11.0000
27.2047,-81.3629,52.5029,0.4127,2.0000
45.8354,-87.2376,44.9269,1.3640,6.0000
37.8077,-85.2097,25.7964,0.8376,4.0000
33.9613,-91.0952,62.6313,1.3376,6.0000
45.8993,-121.7930,267.9966,1.3345,4.0000
42.0109,-123.5694,219.7629,1.1851,6.0000
32.3530,-84.1825,105.8935,0.7674,6.0000
45.4357,-93.3965,120.6078,1.1343,5.0000
37.9210,-77.1752,111.2802,1.6117,8.0000
37.9945,-81.2223,133.8199,2.0089,9.0000
37.0525,-85.4112,59.3056,1.9055,8.0000
32.2108,-83.4188,70.7524,2.0323,11.0000
39.0468,-86.7353,94.6689,1.7755,8.0000
45.8736,-110.9995,133.9033,0.1856,2.0000
34.3669,-78.4346,75.9677,1.3435,5.0000
36.6574,-81.2295,33.2904,0.0000,1.0000
35.2456,-81.7995,37.3277,1.1238,4.0000
46.4900,-115.2399,55.0300,0.8803,4.0000
34.8826,-81.8499,116.1233,1.0585,6.0000
32.0820,-83.2476,46.4767,0.7845,5.0000
46.7333,-90.9614,118.3813,1.7324,8.0000
30.3743,-93.7402,142.3256,2.0005,12.0000
36.6520,-82.6987,116.7054,2.2174,14.0000
39.3452,-121.2795,61.1343,1.2042,4.0000
35.7601,-83.1405,240.8249,1.2771,9.0000
47.9410,-93.1932,20.3485,0.3670,3.0000
34.7825,-84.0793,159.6013,1.8973,9.0000
34.8477,-82.1869,6.9009,0.0000,1.0000
45.0625,-83.7147,16.8925,1.1052,4.0000
44.0870,-90.8825,19.9591,1.5682,6.0000
46.5406,-85.1355,140.4146,1.5731,7.0000
33.0922,-89.0166,26.1856,0.1368,2.0000
37.7369,-91.2289,106.4927,2.0180,10.0000
39.3583,-108.2102,139.7266,0.0000,1.0000
37.9965,-111.6328,77.7977,0.9984,3.0000
33.1663,-94.9055,79.9994,1.7799,10.0000
